"留言"
" 在台灣看不見美國不好的新聞啦"
" 中國又贏了"
" 雞蛋都討論快兩個月了，你要問你們家統戰部經費要不"
" 要下阿"
" 跟股板什麼關係？"
" PTT股票板本來就有一堆平常沒在做股票，只專門貼擦"
" 邊球的政治新聞ID，常在逛板的誰不是心知肚明XD"
" 這麼喜歡對岸共產國家怎不快去永久居住"
" 還真的沒股點，我還以為我在八卦"
" 一邊0元購，一邊0工資，你自己選邊，笑死！"
" 華為爛到沒人想搶"
" 點名是什麼鬼？？"
" 人家吸毒變殭屍是人家爽 支那韭菜被收割 人礦會爽??"
" 你是在羨慕美國人可以爽到昇天? 韭菜只能被收割昇天"
" 是這意思嗎?? 還是人礦只能進集中營勞作?? XDDDDDDD"
" 中國武漢肺炎死了多少人不敢講?? 美國都公開耶....."
" 你講的沒錯 但這邊是股版"
" 賴小民有100多個情婦 中國政論節目敢討論??????????"
" 好奇有沒有Apple Store被零元購"
" 8964中國政論節目敢討論?? 騙三歲小孩喔???????????"
" 中國人要站起來了嗎？"
" 討論別人的最會啦  自己的爛事都不敢討論  算啥大國"
" 丟人現眼的垃圾國家 XDDDDDDDDDD"
" 零元購 有效消禰美國貧富差距 股市繼續噴"
" 窮人缺錢就會做亂 付出更多社會成本"
" 馬上被下一篇打臉 可憐哪"
" 我也記得台灣新聞有報導 就你在那想當然"
" 政治挑釁文"
" 零分文章"
" 喔喔喔"
" 又要帶牆外新聞不自由的風向是吧？"
" 溫馨"
" 自己只在看政治新聞雞蛋新聞，說沒人報導XDDD"
" 好了啦你超級可撥"
" 資產子女全在美方 美國爛透了"
" 第一次看到？zzzzzz"
" 笑死 超級舔仔"
" 股點？當個版？"
" 搶劫已經發生很長一段時間，推特上都有影片，只是台灣"
" 媒體沒有報導"
" 所以當然是懷疑這些公司企業的財報。"
" 西方國家還有一個很少報導的問題:非法移民"
" 股點呢？"
" 柵欄沒關？"
" 被打臉了該出來土下座吧"
" 針對某人就回他信箱嘛 連這也不懂"
" 中共現在熱點是翻牆罰兩百 外加沒收違法所得一百萬"
" 所有翻牆工作的都在恐慌中"
" 誰管你搶劫還欠薪"
" 股版？八股版？"
" 真的是柵欄風向仔"
" 你都看央視新聞對吧！那更應該看到才對啊"
" 妳能發這篇文讓大家討論不就證明美台很自由"
" 可悲過度 吸毒搶劫持槍專精"
" 可憐啊，還要翻牆講喔，可悲仔"
" 媒體有報導，只是沒點擊率，記者不想浪費時間"
" 建議就醫"
" 欣銓，很洗哩"
" 3078今天左邊明天右邊=="
" 投信真的很愛中裕"
" 可以這樣嗎橋威一天買一天賣"
" 所以要一天賣一天買吃豆腐嗎"
" 綠買紅賣 僑威"
" 中美晶賣爽沒"
" 威剛隔日沖很爽哦"
" 99華星光"
" 99旺矽"
" 8255賣爽沒"
" 3078害我也買綠賣紅 玩完了嗎"
" 成本135路過"
" 增資買大樓"
" 崇越必噓"
" 7000張是要抽個懶叫"
" 只有700張可以抽吧?"
" 700張....抽中的運我寧願拿去買樂透"
" 台Ｇ直接去日本找大廠拿料"
" 第六隊概念股"
" 安永的魚好吃"
" 高檔增資崩爛"
" 嗯 隨便一個路人覺得身價一兆的CEO不行"
" 廢文王"
" 沒料的人好意思說ptt廢文多…？"
" 一直貼機翻廢文 最好水桶"
